publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-29T14:25:02Z,@dzudillashidqia7224,Filem annoying brother bagussss huaa,0
2024-10-29T14:21:21Z,@rullirn3335,Mirip ya kalian,0
2024-10-29T14:20:12Z,@hizra9757,JER KITA SEUMURAN.. TAPI GUE BUTUH LO JDI GURU MATEMATIKA GUE PLIS 😭😭😭😭,0
2024-10-29T14:14:16Z,@iloveyoubeach,malah cosplay bowo jir angga yunanda wkwk,0
2024-10-29T13:51:19Z,@kucingmiau90,"Astaga Angga ada kumisnya, tua bgt",0
2024-10-29T13:27:16Z,@hizra9757,"gtau yah, pas lihat angga ne aku spt mlht charlie puth, wajahnya mirip soalny",1
2024-10-29T12:57:38Z,@blackcoffeee,Angga yunanda kalo lagi ngitung gemes bangat 😭♥️,1
2024-10-29T12:09:32Z,@rikamaryam2983,cukur ga😭,0
2024-10-29T11:27:19Z,@jiear8964,"angga ky anak qw yg cwe, tau hasilnya tp bingung begitu suruh nulis caranya hahahaha",0
2024-10-29T11:12:17Z,@mdaffasaputra9662,Minimal 3 SKS jer vidionya,0
2024-10-29T11:08:46Z,@kevinjovianpanjaitan4505,Bg medy kapan,0
2024-10-29T11:00:50Z,@melisapuspitasari3065,Gua bukan ahli matematika sekedar suka aja mapel nya..tapi ini emang gampang gk si bukan yang kek complicated gitu soalnya,1
2024-10-29T10:20:20Z,@baktiparningotan8002,"soalnya rada rada mirip PISA btw, thanks jerome ini berguna bgt buat anak anak kita 👍👍",0
2024-10-29T09:54:13Z,@justmeq2473,"Angga yunanda pas smp dulu prnh juara olim matemakia jer, sekolahnya dari SD udh di sekolah favorit",13
2024-10-29T09:48:02Z,@NisrinaAqilahKhairunnisa,mantap Anggaaa logikanya keren baget,0
2024-10-29T09:45:09Z,@elvinrafafi6276,pls ajarin rigen wkwkwwkwkwkwk,0
2024-10-29T09:39:38Z,@lidyasijabat9252,Keren....,0
2024-10-29T09:19:35Z,@eciliana4818,Angga ni dulu berhasil lolos SMP 2 dimana SMP itu salah satu yg paling favorit dan RSBI di kota kami masuknya pakai tes 13 tahun lalu. Itu dan dia bisa lolos berarti dia pinter sih. Jd klo mtk dasar dia pasti bisa kerjain.,1
2024-10-29T09:05:27Z,@wobblyorbee279,"<a href=""https://www.youtube.com/watch?v=c6ULhl5UU0k&amp;t=20"">0:20</a>",0
2024-10-29T09:04:38Z,@rifkyansyah8749,p,0
2024-10-29T09:02:40Z,@user-kf7ed5un9e,undang sandyy coc plissssss,0
2024-10-29T08:48:08Z,@Theotampan20,Nihongo Mantappu menyukai komentar anda,1
2024-10-29T08:46:59Z,@hashifahclaudia2072,"Bang jer cara menjelaskan nya kurang bisa dipahami dengan mudah. Kayak belibet buat yang baru belajar, kalo yg dh ngerti sih paham pasti. Tapi mudah2an next bisa lebih luwes lagi menjelaskannya. Semangattt",0
